GPPractice/Area,Year,Age,Sex,AreaType,PracticeCode,PatientCount_Asthma,PatientCount_Atrial Fibrillation,PatientCount_Cancer,PatientCount_Chronic Kidney Disease (CKD),PatientCount_Chronic Obstructive Pulmonary Disease (COPD),PatientCount_Coronary Heart Disease (CHD),PatientCount_Dementia,PatientCount_Depression,PatientCount_Diabetes,PatientCount_Eating Disorder,PatientCount_Epilepsy,PatientCount_Heart Failure,PatientCount_Hypertension,PatientCount_Mental Health,PatientCount_Osteoporosis,PatientCount_Palliative Care,PatientCount_Peripheral Arterial Disease (PAD),PatientCount_Rheumatoid Arthritis,PatientCount_Stroke and TIA,Change_Asthma,Change_Atrial Fibrillation,Change_Cancer,Change_Chronic Kidney Disease (CKD),Change_Chronic Obstructive Pulmonary Disease (COPD),Change_Coronary Heart Disease (CHD),Change_Dementia,Change_Depression,Change_Diabetes,Change_Eating Disorder,Change_Epilepsy,Change_Heart Failure,Change_Hypertension,Change_Mental Health,Change_Osteoporosis,Change_Palliative Care,Change_Peripheral Arterial Disease (PAD),Change_Rheumatoid Arthritis,Change_Stroke and TIA,Rate_Asthma,Rate_Atrial Fibrillation,Rate_Cancer,Rate_Chronic Kidney Disease (CKD),Rate_Chronic Obstructive Pulmonary Disease (COPD),Rate_Coronary Heart Disease (CHD),Rate_Dementia,Rate_Depression,Rate_Diabetes,Rate_Eating Disorder,Rate_Epilepsy,Rate_Heart Failure,Rate_Hypertension,Rate_Mental Health,Rate_Osteoporosis,Rate_Palliative Care,Rate_Peripheral Arterial Disease (PAD),Rate_Rheumatoid Arthritis,Rate_Stroke and TIA
S - Red,2023,15-19,All,Cluster,,58,0,0,0,0,0,0,26,10,5,5,0,0,0,0,0,0,0,0,1.8,,,,,,,4,0,0,-50,,,-100,,,,,,5.4,0,0,0,0,0,0,2.4,0.9,0.5,0.5,0,0,0,0,0,0,0,0
S - Red,2023,20-24,All,Cluster,,92,0,5,0,0,0,0,107,5,17,16,0,5,5,0,0,0,0,0,10.8,,0,,,,,-1.8,-50,70,6.7,,0,0,,,,,,5.7,0,0.3,0,0,0,0,6.7,0.3,1.1,1,0,0.3,0.3,0,0,0,0,0
S - Red,2023,25-29,All,Cluster,,125,0,0,0,0,0,0,299,23,24,23,0,5,19,0,0,0,0,0,-1.6,,,,,,,2.7,15,4.3,-8,,-50,90,,,,,,4.8,0,0,0,0,0,0,11.4,0.9,0.9,0.9,0,0.2,0.7,0,0,0,0,0
S - Red,2023,30-34,All,Cluster,,128,0,10,0,0,5,0,328,35,20,32,5,30,20,0,0,0,0,5,10.3,,0,,,0,,3.1,12.9,17.6,18.5,0,42.9,0,,,,,0,4.6,0,0.4,0,0,0.2,0,11.8,1.3,0.7,1.1,0.2,1.1,0.7,0,0,0,0,0.2
S - Red,2023,35-39,All,Cluster,,124,5,15,5,0,5,0,337,62,10,32,5,45,24,0,0,0,0,5,-8.8,,50,0,-100,0,,10.5,21.6,0,-5.9,0,7.1,-7.7,,,,-100,0,4.8,0.2,0.6,0.2,0,0.2,0,13.1,2.4,0.4,1.2,0.2,1.7,0.9,0,0,0,0,0.2
S - Red,2023,40-44,All,Cluster,,110,0,17,5,10,5,0,269,74,10,27,0,96,24,0,0,0,5,10,1.9,,13.3,0,0,-50,,11.2,0,0,0,,12.9,14.3,,,,,100,5.3,0,0.8,0.2,0.5,0.2,0,13,3.6,0.5,1.3,0,4.6,1.2,0,0,0,0.2,0.5
S - Red,2023,45-49,All,Cluster,,111,5,21,5,19,26,0,243,114,10,33,0,124,21,0,0,5,0,10,-2.6,,0,0,-17.4,13,,1.2,10.7,100,0,,-6.1,-25,,,0,-100,0,6.7,0.3,1.3,0.3,1.1,1.6,0,14.7,6.9,0.6,2,0,7.5,1.3,0,0,0.3,0,0.6
S - Red,2023,50-54,All,Cluster,,120,5,34,15,39,40,0,290,140,5,29,15,245,37,0,5,5,15,21,-0.8,-50,13.3,0,-7.1,8.1,,0.7,5.3,0,3.6,0,1.2,19.4,,,0,0,-8.7,7.5,0.3,2.1,0.9,2.4,2.5,0,18.1,8.8,0.3,1.8,0.9,15.3,2.3,0,0.3,0.3,0.9,1.3
S - Red,2023,55-59,All,Cluster,,153,26,47,25,76,81,0,262,172,5,35,18,350,34,0,5,19,17,39,-3.8,-13.3,-23,-7.4,8.6,-8,,-0.4,-10.9,0,-2.8,-5.3,-2.8,9.7,,0,-5,30.8,-13.3,10.1,1.7,3.1,1.7,5,5.4,0,17.3,11.4,0.3,2.3,1.2,23.1,2.2,0,0.3,1.3,1.1,2.6
S - Red,2023,60-64,All,Cluster,,152,36,70,49,103,137,5,259,234,0,35,25,460,24,0,5,34,21,74,4.8,12.5,7.7,2.1,-1.9,1.5,0,7.9,10.9,-100,0,47.1,4.3,0,,0,17.2,40,-5.1,9.7,2.3,4.5,3.1,6.6,8.7,0.3,16.5,14.9,0,2.2,1.6,29.3,1.5,0,0.3,2.2,1.3,4.7
S - Red,2023,65-69,All,Cluster,,136,39,89,67,135,127,5,188,219,0,32,22,459,29,0,5,34,15,79,10.6,5.4,2.3,19.6,11.6,6.7,0,21.3,8.4,,52.4,-4.3,9,0,,0,13.3,0,29.5,11.4,3.3,7.5,5.6,11.3,10.7,0.4,15.8,18.4,0,2.7,1.8,38.5,2.4,0,0.4,2.9,1.3,6.6
S - Red,2023,70-74,All,Cluster,,93,51,80,69,86,125,10,116,161,0,10,26,374,20,0,5,24,22,65,17.7,-15,-14,-15.9,6.2,-6.7,-37.5,0.9,-5.8,,-33.3,-16.1,-6.7,0,-100,0,-31.4,0,-11,11.7,6.4,10.1,8.7,10.9,15.8,1.3,14.6,20.3,0,1.3,3.3,47.2,2.5,0,0.6,3,2.8,8.2
S - Red,2023,75-79,All,Cluster,,51,76,93,121,79,121,29,89,143,0,15,46,379,20,10,5,20,15,66,-7.3,7,5.7,0,-17.7,-2.4,-12.1,9.9,5.9,,50,-13.2,5.3,100,0,-50,-13,36.4,4.8,7.6,11.4,13.9,18.1,11.8,18.1,4.3,13.3,21.4,0,2.2,6.9,56.8,3,1.5,0.7,3,2.2,9.9
S - Red,2023,80-84,All,Cluster,,41,68,61,96,59,93,25,48,79,0,5,43,260,10,5,10,21,10,64,7.9,-6.8,-10.3,-11.9,5.4,-14.7,-19.4,6.7,-6,,0,16.2,-2.6,100,-50,0,-22.2,0,-14.7,9.9,16.4,14.7,23.2,14.3,22.5,6,11.6,19.1,0,1.2,10.4,62.8,2.4,1.2,2.4,5.1,2.4,15.5
S - Red,2023,85plus,All,Cluster,,33,104,67,166,51,123,72,42,77,0,10,49,283,5,19,29,25,5,90,6.5,8.3,9.8,-1.8,2,7.9,5.9,10.5,22.2,,0,0,0,-50,11.8,-35.6,13.6,0,11.1,6.9,21.8,14.1,34.9,10.7,25.8,15.1,8.8,16.2,0,2.1,10.3,59.5,1.1,4,6.1,5.3,1.1,18.9
S - Red,2023,All,All,Cluster,,1622,420,606,630,660,890,145,2902,1553,110,354,251,3120,287,35,70,190,120,531,2.5,2.2,-1.5,-2.8,0.5,-1.3,-8.8,5.3,3.7,8.9,6,-0.4,1.7,4.4,-14.6,-20.5,-3.1,0.8,1,6.3,1.6,2.4,2.5,2.6,3.5,0.6,11.4,6.1,0.4,1.4,1,12.2,1.1,0.1,0.3,0.7,0.5,2.1
S - Yellow,2018,00-04,All,Cluster,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S - Yellow,2018,05-09,All,Cluster,,136,0,5,0,0,0,0,0,5,5,22,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5.7,0,0.2,0,0,0,0,0,0.2,0.2,0.9,0,0,0,0,0,0,0,0
S - Yellow,2018,10-14,All,Cluster,,162,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7.4,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
S - Yellow,2018,15-19,All,Cluster,,145,0,0,0,0,0,0,25,15,5,24,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6.9,0,0,0,0,0,0,1.2,0.7,0.2,1.1,0,0,0,0,0,0,0,0
S - Yellow,2018,20-24,All,Cluster,,206,0,0,0,0,0,0,136,20,14,39,0,5,5,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,8.1,0,0,0,0,0,0,5.3,0.8,0.5,1.5,0,0.2,0.2,0,0,0,0,0.2
S - Yellow,2018,25-29,All,Cluster,,196,0,10,0,0,0,0,330,20,19,45,0,10,15,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,6.1,0,0.3,0,0,0,0,10.3,0.6,0.6,1.4,0,0.3,0.5,0,0,0,0,0.2
