GPPractice/Area;Year;Age;Sex;AreaType;PracticeCode;PatientCount_Asthma;PatientCount_Atrial Fibrillation;PatientCount_Cancer;PatientCount_Chronic Kidney Disease (CKD);PatientCount_Chronic Obstructive Pulmonary Disease (COPD);PatientCount_Coronary Heart Disease (CHD);PatientCount_Dementia;PatientCount_Depression;PatientCount_Diabetes;PatientCount_Eating Disorder;PatientCount_Epilepsy;PatientCount_Heart Failure;PatientCount_Hypertension;PatientCount_Mental Health;PatientCount_Osteoporosis;PatientCount_Palliative Care;PatientCount_Peripheral Arterial Disease (PAD);PatientCount_Rheumatoid Arthritis;PatientCount_Stroke and TIA;Change_Asthma;Change_Atrial Fibrillation;Change_Cancer;Change_Chronic Kidney Disease (CKD);Change_Chronic Obstructive Pulmonary Disease (COPD);Change_Coronary Heart Disease (CHD);Change_Dementia;Change_Depression;Change_Diabetes;Change_Eating Disorder;Change_Epilepsy;Change_Heart Failure;Change_Hypertension;Change_Mental Health;Change_Osteoporosis;Change_Palliative Care;Change_Peripheral Arterial Disease (PAD);Change_Rheumatoid Arthritis;Change_Stroke and TIA;Rate_Asthma;Rate_Atrial Fibrillation;Rate_Cancer;Rate_Chronic Kidney Disease (CKD);Rate_Chronic Obstructive Pulmonary Disease (COPD);Rate_Coronary Heart Disease (CHD);Rate_Dementia;Rate_Depression;Rate_Diabetes;Rate_Eating Disorder;Rate_Epilepsy;Rate_Heart Failure;Rate_Hypertension;Rate_Mental Health;Rate_Osteoporosis;Rate_Palliative Care;Rate_Peripheral Arterial Disease (PAD);Rate_Rheumatoid Arthritis;Rate_Stroke and TIA
Dundee 3;2023;40-44;M;Cluster;;90;0;5;0;12;11;0;84;36;5;30;5;51;19;0;0;0;0;11;-2.2;;0;-100;-14.3;120;;7.7;-2.7;;30.4;0;13.3;0;;;;;10;6;0;0.3;0;0.8;0.7;0;5.6;2.4;0.3;2;0.3;3.4;1.3;0;0;0;0;0.7
Dundee 3;2023;45-49;M;Cluster;;72;5;10;5;21;13;0;66;55;0;24;0;89;38;0;0;5;0;12;-1.4;0;-23.1;0;-12.5;-23.5;;-4.3;3.8;;-11.1;-100;3.5;-7.3;;;0;;0;5.9;0.4;0.8;0.4;1.7;1.1;0;5.4;4.5;0;2;0;7.3;3.1;0;0;0.4;0;1
Dundee 3;2023;50-54;M;Cluster;;97;15;30;10;45;48;0;76;109;0;35;15;180;39;0;0;15;5;17;-1;50;0;0;12.5;0;;7;12.4;;-10.3;36.4;14.6;18.2;;;50;0;-19;7;1.1;2.2;0.7;3.3;3.5;0;5.5;7.9;0;2.5;1.1;13;2.8;0;0;1.1;0.4;1.2
Dundee 3;2023;55-59;M;Cluster;;119;31;26;16;80;83;5;79;129;0;26;15;266;35;0;0;23;5;35;8.2;0;4;0;17.6;-8.8;0;1.3;8.4;;23.8;36.4;1.9;0;;;15;0;-7.9;8.7;2.3;1.9;1.2;5.8;6;0.4;5.8;9.4;0;1.9;1.1;19.4;2.5;0;0;1.7;0.4;2.5
Dundee 3;2023;60-64;M;Cluster;;86;39;56;23;93;128;0;71;170;0;25;11;335;30;0;0;26;12;73;2.4;14.7;-15.2;21.1;-15.5;3.2;;-1.4;9;;-21.9;-8.3;-4.8;25;;;-3.7;9.1;9;6.3;2.8;4.1;1.7;6.8;9.3;0;5.2;12.4;0;1.8;0.8;24.4;2.2;0;0;1.9;0.9;5.3
Dundee 3;2023;65-69;M;Cluster;;58;45;78;34;98;156;5;44;184;0;27;22;387;25;0;0;25;10;71;11.5;0;9.9;13.3;8.9;8.3;0;2.3;-2.6;;22.7;-12;9.6;-7.4;;;-3.8;0;4.4;5.3;4.1;7.1;3.1;8.9;14.2;0.5;4;16.8;0;2.5;2;35.3;2.3;0;0;2.3;0.9;6.5
Dundee 3;2023;70-74;M;Cluster;;55;51;84;49;104;154;10;32;177;0;22;34;375;10;0;5;39;10;78;12.2;4.1;-6.7;-7.5;6.1;-4.3;0;18.5;-1.1;;0;3;-4.6;-9.1;;0;2.6;0;-3.7;6.3;5.8;9.6;5.6;11.9;17.6;1.1;3.6;20.2;0;2.5;3.9;42.8;1.1;0;0.6;4.4;1.1;8.9
Dundee 3;2023;75-79;M;Cluster;;27;77;86;80;76;138;19;13;149;0;13;33;354;10;0;5;42;10;70;-25;0;10.3;25;-3.8;3;-32.1;-18.8;12;;-18.8;13.8;4.1;0;;0;16.7;0;-1.4;4;11.4;12.7;11.8;11.2;20.4;2.8;1.9;22;0;1.9;4.9;52.3;1.5;0;0.7;6.2;1.5;10.3
Dundee 3;2023;80-84;M;Cluster;;25;52;58;73;64;106;26;10;84;0;5;30;225;5;0;5;26;5;48;4.2;-17.5;13.7;-1.4;-5.9;-7.8;4;0;-7.7;;0;7.1;0;;;0;-18.8;0;-4;6.6;13.7;15.3;19.2;16.8;27.9;6.8;2.6;22.1;0;1.3;7.9;59.2;1.3;0;1.3;6.8;1.3;12.6
Dundee 3;2023;85plus;M;Cluster;;20;70;43;87;41;107;45;5;73;0;5;26;188;0;0;5;20;5;47;11.1;0;-4.4;8.8;0;12.6;15.4;0;2.8;;0;13;3.9;;;-50;-13;;-13;6.2;21.5;13.2;26.8;12.6;32.9;13.8;1.5;22.5;0;1.5;8;57.8;0;0;1.5;6.2;1.5;14.5
